1	4	1
1	5	1
1	35	1
2	3	1
2	4	1
2	6	2
2	7	1
2	8	2
2	9	1
2	10	2
2	11	3
2	13	1
2	14	2
2	15	1
2	16	2
2	17	2
2	18	1
2	20	1
2	22	3
2	24	3
2	25	3
2	27	3
2	28	2
2	29	7
2	30	1
2	31	4
2	32	9
2	34	1
2	35	1
2	36	2
3	4	1
3	9	1
3	14	1
3	16	1
3	24	2
3	25	1
3	27	1
3	29	1
3	31	1
3	32	1
4	5	2
4	6	1
4	9	1
4	10	2
4	11	1
4	14	1
4	16	1
4	24	2
4	25	1
4	27	1
4	29	3
4	31	2
4	32	2
5	6	2
5	7	1
5	10	1
5	16	1
5	19	1
5	24	2
6	7	3
6	8	2
6	9	1
6	10	1
6	14	2
6	15	3
6	16	2
6	17	2
6	18	2
6	19	1
6	21	1
6	22	3
6	24	2
6	27	1
6	28	2
6	29	1
6	35	2
7	8	4
7	10	1
7	14	1
7	15	1
7	16	2
7	17	2
7	18	1
7	19	1
7	21	1
7	22	2
7	24	3
7	26	1
7	27	3
7	28	2
7	29	2
7	35	2
8	14	1
8	15	1
8	17	2
8	18	1
8	22	2
8	24	1
8	25	1
8	27	1
8	28	2
8	29	1
8	35	2
9	14	1
9	16	2
9	24	1
9	25	1
9	26	1
9	27	1
9	29	1
9	31	1
9	32	1
10	11	1
10	16	2
10	17	1
10	24	1
10	25	1
10	26	2
10	27	1
10	28	1
10	29	6
10	30	1
10	31	2
10	32	3
10	34	1
10	36	1
11	17	1
11	25	1
11	28	1
11	29	4
11	31	4
11	32	1
11	35	1
11	36	1
12	23	1
12	29	1
14	15	2
14	16	1
14	17	1
14	21	1
14	22	2
14	24	2
14	25	1
14	27	2
14	28	1
14	29	3
14	31	1
14	32	1
14	35	2
15	16	1
15	17	1
15	22	2
15	24	1
15	27	2
15	28	1
15	29	1
15	35	1
16	17	1
16	24	4
16	25	1
16	26	2
16	27	4
16	28	1
16	29	2
16	31	1
16	32	1
17	18	1
17	22	2
17	24	3
17	27	1
17	28	15
17	29	1
17	30	1
17	34	1
17	35	2
18	19	1
18	22	1
18	24	1
18	28	1
18	35	1
18	36	1
19	24	1
19	35	1
20	22	1
20	36	1
22	24	1
22	27	2
22	28	2
22	29	1
22	32	1
22	35	2
22	36	1
23	29	1
24	25	1
24	26	1
24	27	2
24	28	3
24	29	2
24	31	1
24	32	2
24	35	1
24	36	1
25	26	1
25	27	1
25	29	2
25	31	3
25	32	3
25	36	7
26	27	1
26	29	1
26	31	1
26	32	1
26	36	1
27	28	1
27	29	5
27	31	1
27	32	1
27	36	1
28	29	1
28	30	1
28	34	1
28	35	2
29	31	6
29	32	3
29	36	1
30	32	1
30	34	7
31	32	3
31	36	1
32	34	1
32	36	1
