Item Type,Publication Year,Title,Author,Source
journalArticle,2023,Hard enforcement of physics-informed neural network solutions of acoustic wave propagation,"Sethi, H.; Pan, D.; Dimitrov, P.; Shragge, J.; Roth, G.; Hester, K.",Computational Geosciences
journalArticle,2023,Helmholtz-equation solution in nonsmooth media by a physics-informed neural network incorporating quadratic terms and a perfectly matching layer condition,"Wu, Yanqi; Aghamiry, Hossein; Operto, S.; Ma, Jianwei",Geophysics
journalArticle,2023,Learned multiphysics inversion with differentiable programming and machine learning,"Louboutin, Mathias; Yin, Ziyi; Orozco, Rafael; Grady, Thomas; Siahkoohi, Ali; Rizzuti, Gabrio; Witte, Philipp; Møyner, Olav; Gorman, Gerard; Herrmann, Felix",arXiv (Cornell University)
journalArticle,2023,Learning-Based Seismic Velocity Inversion with Synthetic and Field Data,"Farris, S.; Clapp, R.; Araya-Polo, M.",Sensors
journalArticle,2023,Memory Optimization in RNN-Based Full Waveform Inversion Using Boundary Saving Wavefield Reconstruction,"Wang, Shaowen; Jiang, Yong; Song, Peng; Tan, Jun; Liu, Zhaolun; He, Bingshou",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2023,Multi-frequency wavefield modeling of acoustic VTI wave equation using physics informed neural networks,"Sandhu, Ali; bin Waheed, Umair; Song, Chao; Dorn, Oliver; Soupios, Pantelis",Frontiers in Earth Science
journalArticle,2023,Numerical Solver-Independent Seismic Wave Simulation Using Task-Decomposed Physics-Informed Neural Networks,"Zou, Jingbo; Liu, Cai; Song, Chao; Zhao, Pengfei",IEEE Geoscience and Remote Sensing Letters
journalArticle,2023,Physics-Guided Unsupervised Deep-Learning Seismic Inversion With Uncertainty Quantification,"Zhang, Y.; Singh, S.; Thanoon, D.; Devarakota, P.; Jin, L.; Tsvankin, I.",Journal of Seismic Exploration
journalArticle,2023,Physics-constrained neural networks for half-space seismic wave modeling,"Ding, Yi; Chen, Su; Li, Xiaojun; Jin, Liguo; Luan, Shuang; Sun, Hao",Computers & Geosciences
journalArticle,2023,Rapid Seismic Waveform Modeling and Inversion With Neural Operators,"Yang, Yan; Gao, Angela; Azizzadenesheli, Kamyar; Clayton, R.; Ross, Zachary",IEEE Transactions on Geoscience and Remote Sensing
