id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
21	park (2024)	"<table><tr><td>Authors:</td><td>park, yunhui; moon, hye-jin; pyun, sukjoon</td></tr><tr><td>Title:</td><td>low-frequency marine seismic data reconstruction based on the far-field signature using a modified u-net</td></tr><tr><td>Source:</td><td>exploration geophysics, 55(3), 263-276</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1080/08123985.2024.2317129	-0.9912	0.009	1	3	3	0	0	2024	0	0
22	zhang (2024)	"<table><tr><td>Authors:</td><td>zhang, yan; meng, decong; zhou, yifan; song, liwei; dong, hongli</td></tr><tr><td>Title:</td><td>seismic velocity inversion based on physically constrained neural networks</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 62, 1-17</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1109/tgrs.2023.3339783	-0.3597	-0.2302	3	16	28	12	0.7059	2024	12	0.7059
23	ji (2024)	"<table><tr><td>Authors:</td><td>ji, duofa; li, chenxi; zhai, changhai; cao, zelin</td></tr><tr><td>Title:</td><td>an efficient platform for numerical modeling of partial differential equations</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 62</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1109/tgrs.2024.3409620	2.3312	-0.0689	5	2	2	40	2.3529	2024	40	2.3529
24	moseley (2020)	"<table><tr><td>Authors:</td><td>moseley, ben; nissen-meyer, tarje; markham, andrew</td></tr><tr><td>Title:</td><td>deep learning for fast simulation of seismic waves in complex media</td></tr><tr><td>Source:</td><td>solid earth, 11(4), 1527-1549</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.5194/se-11-1527-2020	-0.3425	-0.0682	1	25	44	98	1.1951	2020	98	1.1951
25	yang (2021)	"<table><tr><td>Authors:</td><td>yang, yan; gao, angela f.; castellanos, jorge c.; ross, zachary e.; azizzadenesheli, kamyar; clayton, robert w.</td></tr><tr><td>Title:</td><td>seismic wave propagation and inversion with neural operators</td></tr><tr><td>Source:</td><td>seismic record, 1(3), 126-134</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1785/0320210026	0.3049	-0.203	3	16	29	74	2.8462	2021	74	2.8462
26	xiong (2022)	"<table><tr><td>Authors:</td><td>xiong, fansheng; liu, jiawei; guo, zhenwei; liu, jianxin</td></tr><tr><td>Title:</td><td>deep-neural-networks-based approaches for biot–squirt model in rock physics</td></tr><tr><td>Source:</td><td>acta geophysica, 70(2), 593-607</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1007/s11600-022-00740-8	0.2393	0.0173	2	11	13	7	0.459	2022	7	0.459
27	dhara (2022)	"<table><tr><td>Authors:</td><td>dhara, arnab; sen, mrinal</td></tr><tr><td>Title:</td><td>elastic-adjointnet: a physics guided deep autoencoder to overcome cross talk effects in multiparameter full waveform inversion</td></tr><tr><td>Source:</td><td>seg technical program expanded abstracts, 2022-august, 882-886</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1190/image2022-3745050.1	-0.0566	-0.0294	2	21	36	14	0.918	2022	14	0.918
28	wang (2019)	"<table><tr><td>Authors:</td><td>wang, wenlong; yang, fangshu; ma, jianwei</td></tr><tr><td>Title:</td><td>velocity model building with a modified fully convolutional network</td></tr><tr><td>Source:</td><td>2018 seg international exposition and annual meeting, seg 2018, 2086-2090</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1190/segam2018-2997566.1	-0.4362	0.4574	4	18	40	51	1.9367	2019	51	1.9367
29	zhang (2023b)	"<table><tr><td>Authors:</td><td>zhang, yijie; zhu, xueyu; gao, jinghuai</td></tr><tr><td>Title:</td><td>seismic inversion based on acoustic wave equations using physics-informed neural network</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 61</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1109/tgrs.2023.3236973	1.0379	-0.0361	5	24	57	68	2.3906	2023	68	2.3906
30	xu (2019)	"<table><tr><td>Authors:</td><td>xu, yiran; li, jingye; chen, xiaohong</td></tr><tr><td>Title:</td><td>physics informed neural networks for velocity inversion</td></tr><tr><td>Source:</td><td>seg technical program expanded abstracts, 2584-2588</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1190/segam2019-3216823.1	0.1988	1.2319	4	6	12	21	0.7975	2019	21	0.7975
31	zou (2024)	"<table><tr><td>Authors:</td><td>zou, jingbo; liu, cai; zhao, pengfei; song, chao</td></tr><tr><td>Title:</td><td>seismic wavefields modeling with variable horizontally layered velocity models via velocity-encoded pinn</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 62</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1109/tgrs.2024.3411472	0.4952	-0.0777	6	15	32	18	1.0588	2024	18	1.0588
32	song (2022)	"<table><tr><td>Authors:</td><td>song, chao; wang, yanghua</td></tr><tr><td>Title:</td><td>high-frequency wavefield extrapolation using the fourier neural operator</td></tr><tr><td>Source:</td><td>journal of geophysics and engineering, 19(2), 269-282</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1093/jge/gxac016	0.3609	0.2011	2	18	36	40	2.623	2022	40	2.623
34	xu (2020)	"<table><tr><td>Authors:</td><td>xu, yiran; li, jingye; chen, xiaohong</td></tr><tr><td>Title:</td><td>physics informed neural networks for velocity inversion</td></tr><tr><td>Source:</td><td>seg international exposition and annual meeting 2019, 2584-2588</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1190/segam2019-3216823.1	0.1919	1.2339	4	6	12	5	0.061	2020	5	0.061
35	mosser (2020)	"<table><tr><td>Authors:</td><td>mosser, lukas; dubrule, olivier; blunt, martin j.</td></tr><tr><td>Title:</td><td>stochastic seismic waveform inversion using generative adversarial networks as a geological prior</td></tr><tr><td>Source:</td><td>mathematical geosciences, 52(1), 53-79</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s11004-019-09832-6	-0.7427	-0.1497	1	14	21	217	2.6463	2020	217	2.6463
36	yang (2023)	"<table><tr><td>Authors:</td><td>yang, yan; gao, angela f.; azizzadenesheli, kamyar; clayton, robert w.; ross, zachary e.</td></tr><tr><td>Title:</td><td>rapid seismic waveform modeling and inversion with neural operators</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 61</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1109/tgrs.2023.3264210	0.1796	-0.3431	3	13	20	54	1.8984	2023	54	1.8984
