word
acoustic
convolutional
accurate
efficiency
decoder
tomography
spectral
reverse
pdes
autoencoder
fcn
pinn
stochastic
pytorch
traveltime
recurrent
wavenet
helmholtz
adam optimizer
mesh
approximate
geosciences
wavenumber
porous
dense
homogeneous
salt body
ricker
dimensionality
iterative
hyperparameter
supervised
adversarial
segmentation
technology
gpu
swinet
tomogram
conditional autoencoder
stress
monte carlo
vibration
phenomenon
pore
shale
probabilistic
underground
propagator
observables
effectiveness
